asin,author,location,date,rating,title,body,verified_purchase,helpful_votes
B08WM3LMJF,Amazon Customer,the United States,2025-07-31,5.0,5.0 out of 5 starsGreat and worth it.!,Great ear piece. Great sound.,True,0
B08WM3LMJF,Derek,the United States,2025-07-31,5.0,5.0 out of 5 starsLove em great headphones,Awesome sound and quality I wear mine everyday for the gym and my evening runs sound has deep base clear tones and loud,True,0
B08WM3LMJF,Natalie Ervin,the United States,2025-07-31,4.0,4.0 out of 5 starsGood quality for the price,"The headphones have great sound and long lasting battery, however, they are a bit tight and hurt my ears after a period of time.",True,0
B08WM3LMJF,Cristian Garcia,the United States,2025-07-31,3.0,3.0 out of 5 starsNo es como esperaba,"Aunque las almohadillas son en material sintético y se que se van a pelar en poco tiempo, la calidad de sonido en audio es buena, por otra parte el micrófono no es muy bueno para llamadas",True,0
B08WM3LMJF,Stephen Strong,the United States,2025-07-31,3.0,3.0 out of 5 starsSmaller ears than expecting,I was wanting to order another pair of July bc my other pair had lasted me until my kid broke the ear thing.  It's a good quality headphone just the ear thing barely covers my ears.  Im not sure if this is a kids size or what but its not the same size as my other one.  Im glad I have little ears or I would have shipped them back.  They are to small I the ears for my 15 year old son.  Just be warned this did run smaller than normal Jul might read the specs or something,True,0
B08WM3LMJF,Theresa G.,the United States,2025-07-31,1.0,1.0 out of 5 starsEarpiece falls off and can’t be put back on,For one they only give you a 30 day warranty. I purchased them in March gave them to my grandson the end of April and the earpiece keeps falling off and Amazon saying I can’t return them do not buy.,True,0
B08WM3LMJF,SANDRA,the United States,2025-07-31,1.0,1.0 out of 5 starsDoes not hold charge,The headphones only last 2 hours after fully charged. Would not recommend,True,0
B08WM3LMJF,K’s Recommendations,the United States,2025-07-31,5.0,5.0 out of 5 starsGreat headphones for a great deal,"Love these headphones. Bluetooth capability, easy volume control, set up is a click of a button and great for plane rides, car rides or listening in bed.",True,0
B08WM3LMJF,georgia reynolds,the United States,2025-07-31,4.0,4.0 out of 5 starsGreat sound but doesn’t completely cover your ears.,Good sound but not noise canceling. My husband likes these but complained they don’t completely cover.,True,0
B08WM3LMJF,AR,the United States,2025-07-31,5.0,5.0 out of 5 starsVery Durable! Good Quality,"I've had mine for a good year now, and I'm super impressed with the quality of these headphones, they've been through a lot and still work great. The color is very cute, and I often match the color with a variety of different outfits. They are very easy to connect to Bluetooth off any device, and I can control the volume from the headset without my phone and can walk around the house without it disconnecting. Great Buy!",True,0
B08WM3LMJF,Roger Lodge,the United States,2025-07-30,5.0,5.0 out of 5 starsExceeded my expectations,"I wanted some wireless headphones for exercising. I used to use clip on earphones but have never liked earbuds. I decided to try these larger headphones for a change. They didn't come charged like some devices, but charging didn't take long. The bass response and treble is better than I expected at this price point. The bluetooth connectivity also has good range. I'm not a big bluetooth user, but I have a bluetooth receiver dongle I've used to play audio from my phone into my stereo and it has poor range. However, wearing these headphones I went at least 30 feet away from my phone and they still sounded unaffected by the range.",True,0
B08WM3LMJF,Jazmine,the United States,2025-07-30,5.0,5.0 out of 5 starsDoesn't die fast,Works great really loud and great noise canceling,True,0
B08WM3LMJF,Peter Fleming,the United States,2025-07-30,2.0,2.0 out of 5 starsSOME MIGHT FIND THESE SUB-STANDARD,I have always been confident of a JBL product. In this case I imagined these headphones might last for more than 4  months,True,0
B08WM3LMJF,Dakota,the United States,2025-07-30,5.0,5.0 out of 5 starsworks great!,love them!,True,0
B08WM3LMJF,Rafael P.,the United States,2025-07-30,1.0,1.0 out of 5 starsHead phones,Good sound . But made extremely cheap. I mow for a living so it got caught on a branch pulling the head phones off m falling behind the engine got burned and the ear muffs is just an elastic material that comes off totally.,True,0
B08WM3LMJF,Arly,the United States,2025-07-30,5.0,5.0 out of 5 starsLa calidad,Maravilloso,True,0
B08WM3LMJF,Sharnee Snyder,the United States,2025-07-30,1.0,1.0 out of 5 starsCushion falls off,The cushion fell off and I am unable to reattach without using glue. Cheaply made,True,0
B08WM3LMJF,Thheadley,the United States,2025-07-30,5.0,5.0 out of 5 starsGreat for budget or for kids,I brought these on October of 2021 and they are still holding up. The ear pads have worn down but for the price and how long they are lasting I can't complain. I will say however that I find myself wanting to turn the volume up but it's already max. I use mainly at the gym. I also sweat on my face which could be why the ears look the way they do. Overall they served me well over the years.,True,0
B08WM3LMJF,Cesar,the United States,2025-07-30,5.0,5.0 out of 5 starsCalidad,Buena calidad de sonido,True,0
B08WM3LMJF,Julio César Suárez Viamonte,the United States,2025-07-30,5.0,5.0 out of 5 starsI like,"The Bluetooth connection is stable and fast, with no interruptions or interference. Additionally, synchronization with the phone was immediate.",True,0
B08WM3LMJF,Adam Sollers,the United States,2025-07-29,5.0,5.0 out of 5 starsGood headphones for the price,Bought these for my dad for Father’s Day. Great price. He loves them.,True,0
B08WM3LMJF,Lillie Corley,the United States,2025-07-29,1.0,1.0 out of 5 starsName brand product not working!,Purchased these headphones less than 8 months ago and they just stopped working! The usage was an hour 3 times a week @ the gym.,True,0
B08WM3LMJF,Damien,the United States,2025-07-29,2.0,2.0 out of 5 starsHorrible headphones,"These are some of the worst headphones I have ever owned. They are painful on the ears since they do not go over them but on top of them. It's hard to where them for long periods of time. They also continuously stop playing audio despite still being connected. It's not that they are low battery or far away, they just randomly stop playing audio mid video. Then I can't even get them to start playing again unless I continuously turn them off and on and disconnect and reconnect. These are absolutely not worth it.",True,0
B08WM3LMJF,amzical,the United States,2025-07-29,5.0,5.0 out of 5 starsWorks great for sensory overload,"These are not completely noise canceling, but they do enough of a good job that I do not feel overwhelmed on the bus. My flavor of ADHD includes sensory overload, specifically with sound. Just putting in ear plugs on the bus doesn't work because it drowns out most of the background noise, which only makes the noise closer to me that much more stressful. But if I put on these + a soothing anti-anxiety playlist, I'm usually not in a sensory overload/panic attack-type situation. And bonus - headphones work pretty well as a ""Don't talk to me"" measure",True,0
B08WM3LMJF,Tayler Taggart,the United States,2025-07-29,1.0,1.0 out of 5 starsDefective,Ordered this product only used a handful of times and charged them twice. Product will not hold a charge and no way to fix. Fake JBL product.,True,0
B08WM3LMJF,Awesome,the United States,2025-07-29,5.0,5.0 out of 5 starsQuality,Amazing,True,0
B08WM3LMJF,MONICA IRIGOYEN,the United States,2025-07-29,5.0,5.0 out of 5 starsWould recommend,"These headphones connect easy, have great sound quality, perfect size but a little hard to store with out a case or something. It has a few buttons for volume and power. All of my JBL products have lasted for years, so I’m excited about these headphones.",True,0
B08WM3LMJF,Burly Bird,the United States,2025-07-29,5.0,5.0 out of 5 starsGood headphones with lots of perks,"Great sound quality and a comfortable fit. Charging and storage is easy too, as the headphones are not too big. It’s got some side buttons to help with volume and video control as well",True,0
B08WM3LMJF,Feliciano c.,the United States,2025-07-29,1.0,1.0 out of 5 starsBrandi name poor quality,Not loud enough,True,0
B08WM3LMJF,Jessenia niebles,the United States,2025-07-29,4.0,4.0 out of 5 starsSweet.,"Love them, It levels up with beats.",True,0
B08WM3LMJF,Numan,the United States,2025-07-28,5.0,5.0 out of 5 starsgood price and value,"good priced, reliable",True,0
B08WM3LMJF,Jels,the United States,2025-07-28,5.0,5.0 out of 5 starsGood for calls and listening to music,"Great sound and great for calls. I use them to workout, battery life has been good. Love the pink color, it's very soft. Connects easily to my phones. The only thing I dislike is that to skip a song you have to keep the volume buttons oressed, but overall, they're great headphones for the price.",True,0
B08WM3LMJF,Lisa Starobinsky,the United States,2025-07-28,1.0,1.0 out of 5 starsgarbage,"worked for 2 months then stopped turning on, pretty crappy.",True,0
B08WM3LMJF,Donna Connor,the United States,2025-07-28,5.0,5.0 out of 5 starsGreat Headphones,Great headphones. I have two JBL speakers and they paired perfectly.,True,0
B08WM3LMJF,the rat eater,the United States,2025-07-28,5.0,5.0 out of 5 starsLOVEEEEEE THEM😍😍,LOVEEEEEE THEM😍 tbh no complaints hereee there definitely worth it especially if this is one of your first pair of headphones. Jesus love yall🫶🏾,True,0
B08WM3LMJF,BibbsBabe,the United States,2025-07-28,3.0,"3.0 out of 5 starsToo tight, must return","PROS: Great sound quality, callers say my voice was clear voice and I didn't need to speak too loud, the cushions are thick, the blue is beautiful, connectivity was simple, easy to set-up and use, volume controls are easily accessible, lightweight headset which could be good or bad. CONS: Although the cushions are thick, the cups squeezed my ears too tight, the top of the headphones is oddly shaped and applies unnecessary pressure to the arms, the quality of the set feels a little flimsy.",True,0
B08WM3LMJF,Maria Gutierrez,the United States,2025-07-27,4.0,4.0 out of 5 starsOkay,They were good and had good audio quality and was easy to connect to phone the one time I used them but personally the design was too small for my ears so ended up giving them away to friend.,True,0
B08WM3LMJF,Rusty,the United States,2025-07-27,2.0,2.0 out of 5 starsComfortable,Comfortable. Not loud enough for me.,True,0
B08WM3LMJF,DaniB,the United States,2025-07-27,2.0,2.0 out of 5 starsGood for tiny ears only,The ears on these are tiny!  I bought these for my 13 year old son and the ears were too small to fit. The overall headband part fit but the actual part that sits on the ears is very small. These would be best for small children.  I had to return.,True,0
B08WM3LMJF,Pamela Chavez,the United States,2025-07-27,5.0,"5.0 out of 5 starsIncredible Sound, Noise Canceling & Battery Life!","These headphones have completely exceeded my expectations! The noise cancellation is outstanding , it blocks out background sounds even in busy places like cafés or public transport. I can finally enjoy music and podcasts without distractions. The volume is impressively loud and clear, with deep bass and crisp highs. Whether I'm listening to relaxing music or working out, the sound quality stays top notch. What I love the most is the battery life. I’ve been using them daily and only need to charge them once every few days , they easily last over 30 hours on a single charge. Plus, the fast-charging feature is a lifesaver when I’m in a hurry. They're also super comfortable and don’t cause ear fatigue, even after long use.",True,0
B08WM3LMJF,Ada,the United States,2025-07-27,1.0,1.0 out of 5 starsFell apart in a few days!,Came apart in a week of use! I just don't get it!,True,0
B08WM3LMJF,Everett Martin,the United States,2025-07-27,5.0,5.0 out of 5 starsBeautiful sound quality,My favorite headphones! I take these to the gym all the type! They cancel the noise around me and immerse me in the world of YouTube music,True,0
B08WM3LMJF,Nicole Boggs,the United States,2025-07-27,2.0,2.0 out of 5 starsHard to use,"Hard to turn off, took awhile to find where to charge, one of foam protectors fell off after a few uses",True,0
B08WM3LMJF,Belem Vara Alvarez,the United States,2025-07-27,5.0,5.0 out of 5 starsDisfruta tu playlist con estos audífonos!!,Amo estos audífonos los he comprado 3 veces y la calidad de audio es excelente!!,True,0
B08WM3LMJF,RUDILANIA BRITO,the United States,2025-07-27,5.0,5.0 out of 5 starsBueno,"Justo lo que pedí ,buen estado ,se escucha muy bien",True,0
B08WM3LMJF,Pam,the United States,2025-07-27,5.0,5.0 out of 5 starsNoice cancelling,These are great. I purchased for a recent trip by plane. I could hear the entire podcast I was listening to without any engine noice interference. It was very easy to connect to my phone. I could easily wrap around my neck or store in my carry on.,True,0
B08WM3LMJF,Ramón Vargas,the United States,2025-07-26,5.0,5.0 out of 5 starsExelente,Exelente,True,0
B08WM3LMJF,LUH PUP,the United States,2025-07-26,5.0,5.0 out of 5 starsPerfect,Good bass and good audio,True,0
B08WM3LMJF,Cameron S.,the United States,2025-07-26,1.0,1.0 out of 5 starsDefective,The right speaker came blown,True,0
B08WM3LMJF,CO,the United States,2025-07-26,5.0,5.0 out of 5 starsThey work good,Bought these for my daughter she loved them,True,0
B08WM3LMJF,Lilly,the United States,2025-07-26,5.0,5.0 out of 5 starsLove them!,"Love them! I got them to go to the gym. They zone you out and can hear the music loud and clear, there perfect!",True,0
B08WM3LMJF,Dani R,the United States,2025-07-26,5.0,5.0 out of 5 starsSi,"Se escuchan super bien Estos audífonos JBL me encantaron. El sonido es nítido, con bajos profundos y bien definidos, perfectos para disfrutar música, películas o llamadas con excelente calidad. Aíslan bien el ruido exterior y tienen buen volumen sin distorsión.",True,0
B08WM3LMJF,Tammy S.,the United States,2025-07-26,1.0,1.0 out of 5 starsNot What I Expected,Cheaply made for JBL.,True,1
B08WM3LMJF,Gabriella hansen,the United States,2025-07-25,4.0,4.0 out of 5 starsExperience.,"Okay so it works amazing. The mic I’m not sure, but people tell me I sound normal, but I sound like I far away. but the mic quality is AMAZING. It connects fast, just make sure your Bluetooth is on. The volume control is pretty loud, I love my headphones being loud. Next is the compatibility. So basically it’s good. It’s just that I HATE IT when the foam on the headphones fall off. So I decided to take a nail clipper, the little cleaning part I took it and started to fix it, but it will leave holes in the foam. The Compatibility is okay though.",True,0
B08WM3LMJF,Country Girl68,the United States,2025-07-25,4.0,4.0 out of 5 starsGood brand,Good sound. Wear these while working. Easily connected to Bluetooth.,True,0
B08WM3LMJF,J S,the United States,2025-07-25,1.0,"1.0 out of 5 starsTerrible product, battery stopped working","Battery stopped working in under 60 days, cannot hold a charge. Very low quality product, do not buy!",True,0
B08WM3LMJF,Izipho zaGael,the United States,2025-07-25,5.0,5.0 out of 5 starsLove this,as expected. 2nd time purchase to replace and old one which fell on rough surface and broke,True,0
B08WM3LMJF,Jacqueline Nkwana,the United States,2025-07-24,5.0,5.0 out of 5 starsLast long,This my second pair!! Love,True,0
