asin,title,price,rating,review_count,category
B00004T8R2,Panasonic Headphones On-Ear Lightweight with XBS RP-HT21 (Black & Silver),$9.99,4.3,"32,788",On-Ear Headphones
B0BS1PRC4L,"Sony WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone and up to 50 Hours Battery Life with Quick Charging, BlackClick to see price",,4.5,"23,656",On-Ear Headphones
B00OUX6U6G,"Sony ZX Series Wired On-Ear Headphones with Mic, Black MDR-ZX110AP",$17.99,4.5,"108,841",On-Ear Headphones
B0DRDPJRL9,"JLab Go Lux ANC Wireless Headphones, Graphite, Hybrid Active Noise Cancelling, Premium On-Ear Bluetooth Headset, Customizable Sound, Be Aware Mode, Cloud Foam Comfort, Multipoint Connection",$49.99,4.5,287,On-Ear Headphones
B08WM3LMJF,"JBL Tune 510BT - Bluetooth headphones with up to 40 hours battery, microphone for call, foldable and comfortable, Android and iOs compatible (Black)",$29.95,4.5,"81,690",On-Ear Headphones
B006T9ZKAQ,"Koss KPH7 Lightweight Portable Headphone, Black",$4.95,4.2,"9,680",On-Ear Headphones
B00IKYI6FO,"Sony MDR-ZX310AP ZX Series Wired On Ear Headphones with mic, Black",$19.99,4.4,"10,932",On-Ear Headphones
B00NG57H4S,"Sony MDRZX110NC Noise Canceling On Ear Headphones, BlackClick to see price",,4.2,"11,803",On-Ear Headphones
B0CGMV5TMR,"JBL Tune 520BT - Wireless On-Ear Headphones, Up to 57H Battery Life and Speed Charge, Lightweight, Comfortable and Foldable Design, Hands-Free Calls with Voice Aware (Blue)",$49.95,4.6,"7,101",On-Ear Headphones
B0CDZR83T8,"Soundcore H30i Wireless On-Ear Headphones, Foldable Design, Pure Bass, 70H Playtime, Bluetooth 5.3, Lightweight and Comfortable, App Connectivity, Multipoint Connection",$19.99,4.5,"7,339",On-Ear Headphones
B07F2QF1P4,"Kensington USB-A Hi-Fi Headphones, On-Ear Headset, 6ft Cord, for Kids, for Adults, for School, Padded Adjustable Headband (K97600WW), Black",$17.99,4.2,"1,809",On-Ear Headphones
B07HB9Q3CY,"Skullcandy Riff On-Ear Wired Headphones, Convenient for Travel with 3.5mm Plug, Built-In Microphone, Foldable Lightweight Comfortable Design, Durable Headband - Black",$17.99,4.4,"10,049",On-Ear Headphones
B0DZD82GTF,"JBL Tune 520C - USB-C Wired on-Ear Headphones with Hi-Res Audio Support, Pure Bass Sound, Comfort fit, USB-C connectivity, 3-Button Remote with Microphone and EQ presets Control (Black)Click to see price",,3.7,24,On-Ear Headphones
B004JRYLG4,JVC Flats On-Ear Wired Headphones - Flat Foldable Design - 30mm Driver for Powerful Sound - Soft Ear-Pads for Comfort – Steel Headband - Lightweight & Portable - PC/Laptop/Gaming - 3.5mm Slim Plug,$14.99,4.4,"9,817",On-Ear Headphones
B08FXR3BWX,"PHILIPS H4205 Wireless Headphone,On-Ear Bluetooth Headphone with BASS Boost,Quality Sound,32mm Drivers,29-Hour Battery Life,Fast Charging,Lightweight,Adjustable Cushioned Headband,Soft Ear Cups,Black",$27.99,4.2,"1,673",On-Ear Headphones
B08WR6YDKP,"JBL Live 460NC wireless on-ear Noise Cancelling headphones with 50H battery, microphone for calls, lightweight and comfortable, and Alexa Built-in (Optimized for Android), iOS compatible (Black)",$49.99,4.4,"7,229",On-Ear Headphones
B073WN3W6M,"JLab Neon Folding On-Ear Headphones, Black, Wired Headphones, Tangle Free Cord, Noise Isolation, 40mm Neodymium Drivers, C3 Sound (Crystal Clear Clarity)",$15.99,4.4,"17,700",On-Ear Headphones
B0CRM4Q1W1,"JLab JBuds Lux ANC Wireless Headphones, Graphite, Hybrid Active Noise Cancelling, Customizable Sound, Spatial Audio Compatible, Premium Over-Ear Bluetooth Headset",$59.99,4.6,"3,361",On-Ear Headphones
