asin,review_id,review_date,rating,sentiment,review_helpful_votes,captured_at
B08B477BHS,R5U1WCD714H41,2025-09-16,4.0,0.281,0,2025-09-20T15:02:39
B08B477BHS,R2HB4LAR91AG2B,2025-09-15,1.0,0.191,0,2025-09-20T15:02:39
B08B477BHS,RUZKTRM1YQQUN,2025-09-11,1.0,0.067,1,2025-09-20T15:02:39
B08B477BHS,R2QVL8LQTHN533,2025-09-07,5.0,0.392,0,2025-09-20T15:02:39
B08B477BHS,RK0QVZMT0ZBIU,2025-09-07,1.0,0.0,1,2025-09-20T15:02:39
B08B477BHS,R1W2JG4TCW0IVA,2025-09-06,5.0,0.0,0,2025-09-20T15:02:39
B08B477BHS,RP8NAATRFTVAO,2025-09-05,3.0,-0.254,1,2025-09-20T15:02:39
B08B477BHS,R2TO809ZJT360A,2025-08-30,4.0,0.22,0,2025-09-20T15:02:39
B08B477BHS,R2C6ZKR2NBY912,2025-08-29,2.0,0.467,0,2025-09-20T15:02:39
B08B477BHS,RK33X5GUW2BYP,2025-08-29,2.0,-0.15,0,2025-09-20T15:02:39
B08B477BHS,R2S76HH4GBL7E4,2025-08-28,2.0,0.147,0,2025-09-20T15:02:39
B08B477BHS,R3MM5D42IGKPQC,2025-08-19,5.0,0.0,0,2025-09-20T15:02:39
B08B477BHS,R2Y0OYANCMHTSB,2025-08-18,4.0,0.213,0,2025-09-20T15:02:39
B08B477BHS,RJJ3I0ZMQEGQP,2025-08-16,5.0,1.0,0,2025-09-20T15:02:39
B08B477BHS,R1YVXV5C7J0CIX,2025-08-13,4.0,0.0,0,2025-09-20T15:02:39
B08B477BHS,R70JYZIIZV3Z4,2025-07-30,5.0,-0.059,0,2025-09-20T15:02:39
B08B477BHS,R2B1D6NLNREOOB,2025-07-19,2.0,0.181,0,2025-09-20T15:02:39
B08B477BHS,R3BXLXHVJP6DTC,2025-07-18,2.0,-0.117,0,2025-09-20T15:02:39
B08B477BHS,R2QLX6ISS5L2XY,2025-07-17,5.0,0.622,0,2025-09-20T15:02:39
B08B477BHS,R2102XEXW5BO7T,2025-07-16,5.0,0.361,0,2025-09-20T15:02:39
B08B477BHS,R3N43V5LM63OYR,2025-07-14,5.0,0.246,0,2025-09-20T15:02:39
B08B477BHS,R3FA78T8JGS9BU,2025-07-14,5.0,0.45,0,2025-09-20T15:02:39
B08B477BHS,R157ON7NTYKO9M,2025-07-14,1.0,0.35,0,2025-09-20T15:02:39
B08B477BHS,R2X8XJ26511S35,2025-07-09,4.0,0.236,0,2025-09-20T15:02:39
B08B477BHS,R2M7GQHEAHG7E8,2025-07-08,5.0,-0.019,0,2025-09-20T15:02:39
B08B477BHS,R3RCZ146SS3958,2025-06-27,4.0,0.0,0,2025-09-20T15:02:39
B08B477BHS,RDN40DVF2QC1E,2025-06-25,4.0,0.489,0,2025-09-20T15:02:39
B08B477BHS,R2DPSFS4EGKDR2,2025-06-25,3.0,0.153,3,2025-09-20T15:02:39
B08B477BHS,R36BJ5W8LDEDWX,2025-06-23,2.0,0.0,0,2025-09-20T15:02:39
B08B477BHS,R32ZLMDG9LZM57,2025-06-20,5.0,0.269,1,2025-09-20T15:02:39
