asin,date,review_count,avg_sentiment,pos_cnt,neut_cnt,neg_cnt
B00NG57H4S,2023-12-24,1,-0.15,0,1,0
B00NG57H4S,2023-12-26,1,0.0,0,1,0
B00NG57H4S,2023-12-27,1,0.5,1,0,0
B00NG57H4S,2023-12-29,1,0.383,1,0,0
B00NG57H4S,2024-01-05,1,0.208,0,1,0
B00NG57H4S,2024-01-06,1,0.0,0,1,0
B00NG57H4S,2024-01-07,1,0.125,0,1,0
B00NG57H4S,2024-01-11,1,-0.106,0,1,0
B00NG57H4S,2024-01-15,1,0.14,0,1,0
B00NG57H4S,2024-01-16,1,0.415,1,0,0
B00NG57H4S,2024-01-22,1,0.0,0,1,0
B00NG57H4S,2024-02-08,1,-0.064,0,1,0
B00NG57H4S,2024-02-09,1,0.217,0,1,0
B00NG57H4S,2024-02-22,1,0.0,0,1,0
B00NG57H4S,2024-02-23,1,0.8,1,0,0
B00NG57H4S,2024-02-26,1,0.0,0,1,0
B00NG57H4S,2024-02-28,1,0.61,1,0,0
B00NG57H4S,2024-02-29,1,0.505,1,0,0
B00NG57H4S,2024-03-21,1,-0.008,0,1,0
B00NG57H4S,2024-04-05,1,0.77,1,0,0
B00NG57H4S,2024-04-06,1,-0.079,0,1,0
B00NG57H4S,2024-04-11,1,0.468,1,0,0
B00NG57H4S,2024-04-13,1,0.293,0,1,0
B00NG57H4S,2024-04-15,1,0.406,1,0,0
B00NG57H4S,2024-04-16,1,0.417,1,0,0
B00NG57H4S,2024-04-29,1,0.4,1,0,0
B00NG57H4S,2024-04-30,1,0.2,0,1,0
B00NG57H4S,2024-05-04,1,0.264,0,1,0
B00NG57H4S,2024-05-05,1,0.306,1,0,0
B00NG57H4S,2024-05-11,1,0.413,1,0,0
B00NG57H4S,2024-05-18,1,0.0,0,1,0
B00NG57H4S,2024-05-22,1,0.229,0,1,0
B00NG57H4S,2024-05-28,1,0.157,0,1,0
B00NG57H4S,2024-06-11,1,0.461,1,0,0
B00NG57H4S,2024-06-16,1,0.225,0,1,0
B00NG57H4S,2024-06-19,1,0.5,1,0,0
B00NG57H4S,2024-07-05,1,0.302,1,0,0
B00NG57H4S,2024-07-19,1,-0.375,0,0,1
B00NG57H4S,2024-07-21,1,-0.267,0,1,0
B00NG57H4S,2024-07-22,1,-0.033,0,1,0
B00NG57H4S,2024-07-26,1,0.5,1,0,0
B00NG57H4S,2024-07-27,1,0.55,1,0,0
B00NG57H4S,2024-08-15,1,0.0,0,1,0
B00NG57H4S,2024-08-17,1,0.457,1,0,0
B00NG57H4S,2024-08-29,1,0.475,1,0,0
B00NG57H4S,2024-09-05,1,0.188,0,1,0
B00NG57H4S,2024-09-10,1,0.051,0,1,0
B00NG57H4S,2024-09-17,2,-0.05,0,2,0
B00NG57H4S,2024-09-19,1,-0.1,0,1,0
B00NG57H4S,2024-10-10,1,0.418,1,0,0
B00NG57H4S,2024-10-17,1,-0.217,0,1,0
B00NG57H4S,2024-10-24,1,-0.198,0,1,0
B00NG57H4S,2024-10-31,1,-0.6,0,0,1
B00NG57H4S,2024-11-06,1,-0.156,0,1,0
B00NG57H4S,2024-11-09,3,0.25266666666666665,2,1,0
B00NG57H4S,2024-11-21,1,0.7,1,0,0
B00NG57H4S,2024-11-24,1,0.8,1,0,0
B00NG57H4S,2024-11-26,1,0.183,0,1,0
B00NG57H4S,2024-12-01,1,0.325,1,0,0
B00NG57H4S,2024-12-03,2,0.0,0,2,0
B00NG57H4S,2024-12-04,1,0.027,0,1,0
B00NG57H4S,2024-12-06,1,0.7,1,0,0
B00NG57H4S,2024-12-17,2,0.6719999999999999,2,0,0
B00NG57H4S,2024-12-18,1,0.14,0,1,0
B00NG57H4S,2024-12-22,1,0.11,0,1,0
B00NG57H4S,2024-12-28,1,0.025,0,1,0
B00NG57H4S,2025-01-04,2,0.127,0,2,0
B00NG57H4S,2025-01-06,1,0.103,0,1,0
B00NG57H4S,2025-01-11,1,0.8,1,0,0
B00NG57H4S,2025-01-12,1,0.8,1,0,0
B00NG57H4S,2025-01-19,1,0.347,1,0,0
B00NG57H4S,2025-01-20,1,0.162,0,1,0
B00NG57H4S,2025-01-23,1,0.433,1,0,0
B00NG57H4S,2025-02-12,1,0.0,0,1,0
B00NG57H4S,2025-02-19,1,0.398,1,0,0
B00NG57H4S,2025-02-21,1,0.207,0,1,0
B00NG57H4S,2025-02-25,1,0.1,0,1,0
B00NG57H4S,2025-03-04,1,0.175,0,1,0
B00NG57H4S,2025-03-06,1,0.229,0,1,0
B00NG57H4S,2025-03-11,1,0.125,0,1,0
B00NG57H4S,2025-03-20,1,-0.2,0,1,0
B00NG57H4S,2025-03-31,1,0.0,0,1,0
B00NG57H4S,2025-04-06,1,0.112,0,1,0
B00NG57H4S,2025-05-01,1,1.0,1,0,0
B00NG57H4S,2025-05-25,1,0.184,0,1,0
B00NG57H4S,2025-05-27,1,0.0,0,1,0
B00NG57H4S,2025-06-04,1,0.183,0,1,0
B00NG57H4S,2025-06-17,1,0.075,0,1,0
B00NG57H4S,2025-06-21,1,0.271,0,1,0
B00NG57H4S,2025-07-11,1,0.3,0,1,0
B00NG57H4S,2025-08-19,1,0.25,0,1,0
B00NG57H4S,2025-08-23,1,0.461,1,0,0
B00NG57H4S,2025-08-25,1,0.244,0,1,0
B00NG57H4S,2025-09-05,1,0.462,1,0,0
B00NG57H4S,2025-09-18,1,0.508,1,0,0
B00NG57H4S,2025-09-30,1,0.0,0,1,0
B00QHOCTG6,2022-02-08,1,0.248,0,1,0
B00QHOCTG6,2022-02-13,1,0.0,0,1,0
B00QHOCTG6,2022-02-15,1,0.338,1,0,0
B00QHOCTG6,2022-02-18,1,0.28,0,1,0
B00QHOCTG6,2022-02-20,1,-0.073,0,1,0
B00QHOCTG6,2022-02-23,1,0.367,1,0,0
B00QHOCTG6,2022-02-24,1,0.092,0,1,0
B00QHOCTG6,2022-03-03,1,0.314,1,0,0
B00QHOCTG6,2022-03-05,1,0.325,1,0,0
B00QHOCTG6,2022-03-15,1,0.417,1,0,0
B00QHOCTG6,2022-03-30,1,0.148,0,1,0
B00QHOCTG6,2022-04-13,1,0.5,1,0,0
