asin,captured_at,price,rating,total_reviews,bsr,category_path,title
B08B477BHS,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0DM9NJJ8L,2025-09-20T15:02:39,$2936,,0,,Wireless Headphones,
B0DLKB5V35,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0CD1FHLMH,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0DWX8YBKK,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B083P1HG9S,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B07Z8J429C,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0BH4KKZB4,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0CRRRFZN5,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B01LDVQIF0,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0BVRJXH27,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0CGMV5TMR,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B00QHOCTG6,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0B75MQJQR,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0DJW5G283,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0C3HCD34R,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B08HMWZBXC,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0BS1QCFHX,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0CQKMWNHQ,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0CT9SBWC9,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0DP8WJ5BN,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B09S8XP2J2,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0C6KFZC9Z,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0CTB1BM3P,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0DMP36MVC,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0BH4HYM6C,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0CMFXR4W5,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0D4Z9C562,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B085899TQ9,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0BJSFSNKT,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0CVX9PSL9,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B07Z8HNKKT,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0DPK22VCQ,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0D2D75VNY,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0C8PSMPTH,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0D5Y2SG6P,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B00NG57H4S,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0CRTYZG5C,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0CT6C579K,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0B5VHRX7F,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B09NBVS84T,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0FJ8RXV1K,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0FHWF8GC5,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0DHX142GP,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0CZPGX972,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0CBLKS51N,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0BTJ9WHL9,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0CBLLJTTN,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0F21S7DT5,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B087JWTWF9,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0863TXGM3,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B08TMTFR6B,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0FB2VCQG1,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0DZHC7YSY,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0DPK2LN3G,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B094NC89P9,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0CVX9YTDL,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B07K2676W7,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B09XS7JWHH,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0DFYFW1HW,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0DCN52TQH,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0B7WKH98S,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B0D4ZC4XMT,2025-09-20T15:02:39,,,0,,Wireless Headphones,
B08B477BHS,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0DM9NJJ8L,2025-09-20T16:08:37,$2936,,0,,Wireless Headphones,
B0DLKB5V35,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0CD1FHLMH,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0DWX8YBKK,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B083P1HG9S,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B07Z8J429C,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0BH4KKZB4,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0CRRRFZN5,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B01LDVQIF0,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0BVRJXH27,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0CGMV5TMR,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B00QHOCTG6,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0B75MQJQR,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0DJW5G283,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0C3HCD34R,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B08HMWZBXC,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0BS1QCFHX,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0CQKMWNHQ,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0CT9SBWC9,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0DP8WJ5BN,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B09S8XP2J2,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0C6KFZC9Z,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0CTB1BM3P,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0DMP36MVC,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0BH4HYM6C,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0CMFXR4W5,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0D4Z9C562,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B085899TQ9,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0BJSFSNKT,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0CVX9PSL9,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B07Z8HNKKT,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0DPK22VCQ,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0D2D75VNY,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0C8PSMPTH,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0D5Y2SG6P,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B00NG57H4S,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0CRTYZG5C,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0CT6C579K,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0B5VHRX7F,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B09NBVS84T,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0FJ8RXV1K,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0FHWF8GC5,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0DHX142GP,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0CZPGX972,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0CBLKS51N,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0BTJ9WHL9,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0CBLLJTTN,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0F21S7DT5,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B087JWTWF9,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0863TXGM3,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B08TMTFR6B,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0FB2VCQG1,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0DZHC7YSY,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0DPK2LN3G,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B094NC89P9,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0CVX9YTDL,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B07K2676W7,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B09XS7JWHH,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0DFYFW1HW,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0DCN52TQH,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0B7WKH98S,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B0D4ZC4XMT,2025-09-20T16:08:37,,,0,,Wireless Headphones,
B08B477BHS,2025-09-20T16:59:36,,,0,,Wireless Headphones,
B0DM9NJJ8L,2025-09-20T16:59:36,,,0,,Wireless Headphones,
B0DLKB5V35,2025-09-20T16:59:36,,,0,,Wireless Headphones,
B0CD1FHLMH,2025-09-20T16:59:36,,,0,,Wireless Headphones,
B0DWX8YBKK,2025-09-20T16:59:36,,,0,,Wireless Headphones,
B083P1HG9S,2025-09-20T16:59:36,,,0,,Wireless Headphones,
B07Z8J429C,2025-09-20T16:59:36,,,0,,Wireless Headphones,
