asin,snapshot_ts,total_reviews,title,price,bsr,category_path,rating,review_count,captured_at,new_reviews,pages_visited,stopped_reason
B0D4R5WVVR,20251007_110042,100,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B08J9MVB6W,20251007_110042,3292,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0DLKB5V35,20251007_110042,91036,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0CT9SBWC9,20251007_110042,1090,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B085899TQ9,20251007_110042,3970,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0CQXR6GCF,20251007_110042,16,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0C3HCD34R,20251007_110042,38734,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0BVM1PSYN,20251007_110042,1249,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0B6131LBN,20251007_110042,307,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0DJW5G283,20251007_110042,1388,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0BS1QCFHX,20251007_110042,12421,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B08HMWZBXC,20251007_110042,87225,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0BVRJXH27,20251007_110042,1927,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0CS8H4124,20251007_110042,8006,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0DP8WJ5BN,20251007_110042,29,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0C6KFZC9Z,20251007_110042,10897,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B00NG57H4S,20251007_110042,11824,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0CRTYZG5C,20251007_110042,14291,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0D4Z9C562,20251007_110042,13837,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0CBLKS51N,20251007_110042,11159,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B07RFNZYJZ,20251007_110042,9733,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0BH4KKZB4,20251007_110042,1507,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0CVX9YTDL,20251007_110042,89,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0D4R5WVVR,20251007_125925,100,,$17.59,7557.0,Wireless Headphones,,4.0,2025-10-07T15:59:45,,,
B0D4R5WVVR,20251009_151615,100,,$21.99,8517.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,0.0,1.0,no_new_on_page
B08J9MVB6W,20251009_151615,3297,,$199.95,1084.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,1.0,2.0,no_new_on_page
B0DLKB5V35,20251009_151615,91123,,$8.99,70.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,31.0,5.0,no_new_on_page
B0CT9SBWC9,20251009_151615,1100,,$9.97,600.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,0.0,1.0,no_new_on_page
B085899TQ9,20251009_151615,3973,,$19.99,1088.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,0.0,1.0,no_new_on_page
