asin,marketplace,category_path,scan_timestamp,review_title,review_rating,review_author,review_date,review_text,review_location,review_verified_purchase,review_helpful_votes,review_id,captured_at
B00004T8R2,com,unknown,2025-09-19 14:40:18,"5.0 out of 5 stars
Good",5.0,AOH,2025-09-16,Perfectos for school kids,the United States,True,0,RJXFZ7YS8HGRY,2025-09-19T14:50:57
B00004T8R2,com,unknown,2025-09-19 14:40:18,"3.0 out of 5 stars
Great while they lasted",3.0,JC,2025-09-14,"I have purchased these headphones several times. For a very modest price ($7.99) they have been great.  The reason for my repeated purchases is because I would give them to family or friends.  I'm very disappointed that my last purchase in May 2025 stopped working (right side) in September of 2025 - after only 5 months.  My Amazon return period is long past, however it seems the manufacturer should make this okay.  I looked into re-ordering, however the price has now doubled since the last time I made this purchase (tariffs?).",the United States,True,0,R16RCP1SG67IXT,2025-09-19T14:50:57
B00004T8R2,com,unknown,2025-09-19 14:40:18,"3.0 out of 5 stars
Panasonic headphones",3.0,Paula,2025-09-12,"I bought a pair 2-2025 and another in 3-2025. The first pair are working and great. If just reviewing the first pair, I would rate them a 5. But second pair have already quit working. The volume is very low with a lot of static. I tried on different computers, and an adapter. Neither helped.",the United States,True,0,R4X5JI4J7EH5B,2025-09-19T14:50:57
B00004T8R2,com,unknown,2025-09-19 14:40:18,"5.0 out of 5 stars
Good quality.",5.0,Mikki,2025-09-11,Works great! Lightweight and comfortable.,the United States,True,0,R5N4AH8BJH70H,2025-09-19T14:50:57
B00004T8R2,com,unknown,2025-09-19 14:40:18,"4.0 out of 5 stars
Very tight and uncomfortable, but okay sound quality",4.0,John,2025-09-11,"I was on the hunt for the best headphones for my hearing aid mic pack because I have to wear them for long periods of time and the headphones I had were uncomfortable. These are… also uncomfortable. They are quite tight to the ear and small so they push on the shell of the ear which is what I was trying to avoid from the last pair. Upside was that the sound was pretty good, but yeah, not for me. I gave them to my mom as she likes this style because it doesn’t fully cover the ear and she can use them while playing video games. They were cheap so I’m not torn up about it, but yeah, not for me. Also didn’t love the right angle jack because it takes up too much space on my hearing aid as the jack is in between the volume nob and the mic and it made the cord stick out in a weird way so it would not be easy to adjust the volume which is necessary for me.",the United States,True,0,R2D2TNO7FLCCBC,2025-09-19T14:50:57
B00004T8R2,com,unknown,2025-09-19 14:40:18,"5.0 out of 5 stars
As pictured…",5.0,Hannah Granger,2025-09-08,"I think these are great quality for the price…my 8yr old daughter hasn’t broken them yet, we got them for school this year.",the United States,True,0,R6V6RKNZN7LLH,2025-09-19T14:50:57
B00004T8R2,com,unknown,2025-09-19 14:40:18,"5.0 out of 5 stars
Great quality",5.0,Rebecca Hanna,2025-09-03,Great product!Bought for grandchild to use in schoolAnd she loves them!,the United States,True,0,R2J9C455RT5W0A,2025-09-19T14:50:57
B00004T8R2,com,unknown,2025-09-19 14:40:18,"5.0 out of 5 stars
new ears",5.0,flyboycris,2025-09-03,good sound clarity. comfy fit.,the United States,True,0,R54DOM0PMHZ3A,2025-09-19T14:50:57
B00004T8R2,com,unknown,2025-09-19 14:40:18,"3.0 out of 5 stars
Decent",3.0,gsnice1017,2025-08-30,Decent over the ear headphones,the United States,True,0,R1LI07337RFTKN,2025-09-19T14:50:57
B00004T8R2,com,unknown,2025-09-19 14:40:18,"5.0 out of 5 stars
You get your money's worth.",5.0,Brazilnut,2025-08-26,"I like them very much, they work well and are comfortable to wear for a good price, thanks. No",the United States,True,0,R3ADL9M7XY62LK,2025-09-19T14:50:57
B00004T8R2,com,unknown,2025-09-19 14:40:21,"1.0 out of 5 stars
JUNK!!",1.0,John K.,2025-08-25,I bought 5 of these for me & friends. Not a single one lasted more than a few months.,the United States,True,0,R2XN062RCQ8L58,2025-09-19T14:50:57
B00004T8R2,com,unknown,2025-09-19 14:40:21,"5.0 out of 5 stars
Very comfortable fit.",5.0,Stephani P,2025-08-25,"These are very comfortable and extra padding on the ears. I can wear these longer than most headphones. However, they are big and bulky so storage is harder. Overall I would recommend.",the United States,True,0,R7U1JHCTZ5V5V,2025-09-19T14:50:57
B00004T8R2,com,unknown,2025-09-19 14:40:21,"5.0 out of 5 stars
Headphones meet my needs.",5.0,Mary Flanagan,2025-08-22,Reliable product. Repeat buyer. Quick delivery.,the United States,True,0,R211JYKQH63GCH,2025-09-19T14:50:57
B00004T8R2,com,unknown,2025-09-19 14:40:21,"1.0 out of 5 stars
Noisy plastic shell.",1.0,JustTheMessenger,2025-08-20,The plastic shell is so vibration/sound conductive that every tiny movement of the cord translates into noise. Intolerable.,the United States,True,0,RM22QLC0XQON7,2025-09-19T14:50:57
B00004T8R2,com,unknown,2025-09-19 14:40:21,"5.0 out of 5 stars
Excellent!",5.0,Marsha Purser,2025-08-16,These are great! Better than ear buds.,the United States,True,0,R2VI5XJYY6E6WX,2025-09-19T14:50:57
B00004T8R2,com,unknown,2025-09-19 14:40:21,"5.0 out of 5 stars
Great Microphone Pickup",5.0,Mrs.C,2025-08-12,Microphone picks up really well with moderately soft voice and hanging at natural position on the cord.,the United States,True,0,R2QIA593FPOOS8,2025-09-19T14:50:57
B00004T8R2,com,unknown,2025-09-19 14:40:21,"3.0 out of 5 stars
Decent for the Price",3.0,MicronLuvr,2025-08-11,Does not fit tightly over ears for best sound ... but decent enough for casual use.,the United States,True,0,R36M0ONO6WDPAD,2025-09-19T14:50:57
B00004T8R2,com,unknown,2025-09-19 14:40:21,"1.0 out of 5 stars
Died within 6 months",1.0,LS,2025-08-09,Died within 6 months.  Expected more fromPanasonic.,the United States,True,0,R25V02H3R2GROX,2025-09-19T14:50:57
B00004T8R2,com,unknown,2025-09-19 14:40:21,"4.0 out of 5 stars
Yessir",4.0,Jon the Librarian,2025-08-08,"A bit tight on my head, but it has a good sound.  I'm always afraid I'll break it when I put it on, it's so tight!",the United States,True,0,R2CN71DJQ9P87D,2025-09-19T14:50:57
B00004T8R2,com,unknown,2025-09-19 14:40:21,"1.0 out of 5 stars
So Bad",1.0,Prime Customer,2025-08-07,"Worst headphones I’ve ever used.  Cheap, rigid plastic construction and horrifically bad sound.  These are on par with airline handouts.",the United States,True,0,R1OLSMBIGPKGLB,2025-09-19T14:50:57
