asin,marketplace,category_path,scan_timestamp,review_title,review_rating,review_author,review_date,review_text,review_location,review_verified_purchase,review_helpful_votes
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-08-24 00:11:35,"5.0 out of 5 stars
Headphones meet my needs.",5.0,Mary Flanagan,2025-08-22,Reliable product. Repeat buyer. Quick delivery.,the United States,True,0
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-08-24 00:11:35,"1.0 out of 5 stars
Noisy plastic shell.",1.0,JustTheMessenger,2025-08-20,The plastic shell is so vibration/sound conductive that every tiny movement of the cord translates into noise. Intolerable.,the United States,True,0
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-08-24 00:11:35,"5.0 out of 5 stars
Excellent!",5.0,Marsha Purser,2025-08-16,These are great! Better than ear buds.,the United States,True,0
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-08-24 00:11:35,"5.0 out of 5 stars
Great Microphone Pickup",5.0,Mrs.C,2025-08-12,Microphone picks up really well with moderately soft voice and hanging at natural position on the cord.,the United States,True,0
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-08-24 00:11:35,"3.0 out of 5 stars
Decent for the Price",3.0,MicronLuvr,2025-08-11,Does not fit tightly over ears for best sound ... but decent enough for casual use.,the United States,True,0
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-08-24 00:11:35,"1.0 out of 5 stars
Died within 6 months",1.0,LS,2025-08-09,Died within 6 months.  Expected more fromPanasonic.,the United States,True,0
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-08-24 00:11:35,"4.0 out of 5 stars
Yessir",4.0,Jon the Librarian,2025-08-08,"A bit tight on my head, but it has a good sound.  I'm always afraid I'll break it when I put it on, it's so tight!",the United States,True,0
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-08-24 00:11:35,"1.0 out of 5 stars
So Bad",1.0,Prime Customer,2025-08-07,"Worst headphones I’ve ever used.  Cheap, rigid plastic construction and horrifically bad sound.  These are on par with airline handouts.",the United States,True,0
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-08-24 00:11:35,"1.0 out of 5 stars
Glue failed at the 5 year mark",1.0,hiker1717,2025-08-06,"At 5 years since purchase, the magnets on the drivers on both sides separated within a few month of each other. The glue holding the magnets failed. It was not abuse, it's poor glue. I reattached the magnets with some epoxy, so they are good as new, but if someone is not as handy, they would be in the trash now.Is it too much to ask for very gently handles headphones to last for more than 5 years even if they are cheap? I don't think so.",the United States,True,1
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-08-24 00:11:35,"1.0 out of 5 stars
Useless for phone calls – drops the caller immediately",1.0,Barbara Ireland,2025-08-04,"Doesn’t work at all. I got this to be able to walk while taking phone calls, but it drops calls as soon as I plug it into my iPhone - and/or the person‘s voice does not come through - silence.Unfortunately I tested it out past my return window. Bummed.",the United States,True,0
