id,asin,category_path,title,rating,text,author,verified_purchase,helpful_votes,location,date
RM22QLC0XQON7,B00004T8R2,unknown,"1.0 out of 5 stars
Noisy plastic shell.",1.0 out of 5 stars,The plastic shell is so vibration/sound conductive that every tiny movement of the cord translates into noise. Intolerable.,JustTheMessenger,True,0,the United States,"August 20, 2025"
R2VI5XJYY6E6WX,B00004T8R2,unknown,"5.0 out of 5 stars
Excellent!",5.0 out of 5 stars,These are great! Better than ear buds.,Marsha Purser,True,0,the United States,"August 16, 2025"
R2QIA593FPOOS8,B00004T8R2,unknown,"5.0 out of 5 stars
Great Microphone Pickup",5.0 out of 5 stars,Microphone picks up really well with moderately soft voice and hanging at natural position on the cord.,Mrs.C,True,0,the United States,"August 12, 2025"
R36M0ONO6WDPAD,B00004T8R2,unknown,"3.0 out of 5 stars
Decent for the Price",3.0 out of 5 stars,Does not fit tightly over ears for best sound ... but decent enough for casual use.,MicronLuvr,True,0,the United States,"August 11, 2025"
R25V02H3R2GROX,B00004T8R2,unknown,"1.0 out of 5 stars
Died within 6 months",1.0 out of 5 stars,Died within 6 months.  Expected more fromPanasonic.,LS,True,0,the United States,"August 9, 2025"
R2CN71DJQ9P87D,B00004T8R2,unknown,"4.0 out of 5 stars
Yessir",4.0 out of 5 stars,"A bit tight on my head, but it has a good sound.  I'm always afraid I'll break it when I put it on, it's so tight!",Jon the Librarian,True,0,the United States,"August 8, 2025"
R1OLSMBIGPKGLB,B00004T8R2,unknown,"1.0 out of 5 stars
So Bad",1.0 out of 5 stars,"Worst headphones I’ve ever used.  Cheap, rigid plastic construction and horrifically bad sound.  These are on par with airline handouts.",Prime Customer,True,0,the United States,"August 7, 2025"
R3ROC44TRPSPES,B00004T8R2,unknown,"1.0 out of 5 stars
Glue failed at the 5 year mark",1.0 out of 5 stars,"At 5 years since purchase, the magnets on the drivers on both sides separated within a few month of each other. The glue holding the magnets failed. It was not abuse, it's poor glue. I reattached the magnets with some epoxy, so they are good as new, but if someone is not as handy, they would be in the trash now.Is it too much to ask for very gently handles headphones to last for more than 5 years even if they are cheap? I don't think so.",hiker1717,True,1,the United States,"August 6, 2025"
R17CVZ3T7I70YJ,B00004T8R2,unknown,"1.0 out of 5 stars
Useless for phone calls – drops the caller immediately",1.0 out of 5 stars,"Doesn’t work at all. I got this to be able to walk while taking phone calls, but it drops calls as soon as I plug it into my iPhone - and/or the person‘s voice does not come through - silence.Unfortunately I tested it out past my return window. Bummed.",Barbara Ireland,True,0,the United States,"August 4, 2025"
RM4PFI7GPEH3F,B00004T8R2,unknown,"2.0 out of 5 stars
Kinda flimsy",2.0 out of 5 stars,"Kinda flimsy, fell apart fairly quickly, overall an ok cheap option but there are far better options for about the same price.",Jonah Lehmann,True,0,the United States,"July 30, 2025"
RZWBDKJ3UMIRE,B0BS1PRC4L,unknown,"3.0 out of 5 stars
Big Sound, Short Comfort Window",3.0 out of 5 stars,"The Sony WH-CH520 Wireless Headphones deliver impressively clear sound and marathon battery life at a budget-friendly price. Lightweight and stylish, they’re a solid pick for casual listening. However, Bluetooth can be temperamental, slow to pair and occasionally prone to dropouts. Comfort is another trade-off: the on-ear design feels tight over time, especially for kids, making long listening sessions less than ideal.Basically, they sound great and last forever but for all-day wear or seamless connectivity, they fall a bit short.",Sunny R,True,0,the United States,"August 20, 2025"
R2H0PUOTWSL0K1,B0BS1PRC4L,unknown,"5.0 out of 5 stars
Long lasting headphones with amazing battery life and sound.",5.0 out of 5 stars,"Had these headphones for 5-6 years until I had accidentally sat on them, causing one of the muffs to snap off. And even then, the headphones still worked! I just had to buy another pair because I couldn’t glue the muff back to the headband. But honestly, these headphones are so durable. They’re a steal given its amazing quality.Durability: You don’t need to store them in any headphones case. You can put it in your purse, backpack, or bag leave them lying anywhere without worrying about them breaking. Coming from someone who uses these headphones all the time and as a to go for my workouts, and even wearing them on rainy days. Exposure to sweat and moisture in general never affected its sound quality at all! They’re super comfortable and light to wear and I find them so much better than $100-$300+ headphones.Comfort/Battery life: You can wear them for hours comfortably. I only needed to charge them once or twice every two weeks, and I use them for 4-5 hours daily. You only need to charge them for like 15-20 minutes and you’re good to go. They last FOREVER.Design: I love that they’re light weight and simple, making them really comfortable to wear. Personal preference but prefer lighter/simple headphones designs than chunky headphones.Sound: Even though they’re not noise cancelling they pack powerful sound and pretty good bass. You can listen on full volume without worrying about damaging them.Had to write a review bc these headphones are a gem. You should absolutely buy these if you’re looking for high quality and long lasting headphones on a tight budget.",Rose,True,0,the United States,"August 20, 2025"
R1HW8CEZ9JFBY4,B0BS1PRC4L,unknown,"5.0 out of 5 stars
Love it.",5.0 out of 5 stars,Works amazing.,Morolake Fatunmbi,True,0,the United States,"August 20, 2025"
R2QUA8OPSBU75L,B0BS1PRC4L,unknown,"3.0 out of 5 stars
Too tight",3.0 out of 5 stars,"Too tight.  I can only wear them for 20 minutes, and my head is average adult size.  Everything else is good. They connect to my iPhone immediately, and the range is excellent. I just wish they weren't so tight.",Bruce,True,0,the United States,"August 20, 2025"
RDLHD6OMCW3J7,B0BS1PRC4L,unknown,"5.0 out of 5 stars
Best headphone",5.0 out of 5 stars,"Nice quality,comfort 👍",Gurung Karuna,True,0,the United States,"August 20, 2025"
R98RDRWKSP0QY,B0BS1PRC4L,unknown,"5.0 out of 5 stars
Great!!!",5.0 out of 5 stars,Very nice great sound pleasantly surprised!!!,PicolaTravels,True,0,the United States,"August 20, 2025"
RBZKGW43VFUES,B0BS1PRC4L,unknown,"5.0 out of 5 stars
Great",5.0 out of 5 stars,Really works goodI bouth it for my mom and very easy to connect then /ones connected no need to reconnect them again,Veneta Topchieva,True,0,the United States,"August 19, 2025"
