asin,timestamp_utc,rating,review_count,price,bsr_rank
B00004T8R2,2025-08-24 10:41:39,4.3,,109.97,
B0BS1PRC4L,2025-08-24 10:41:39,4.5,,15.99,
B00OUX6U6G,2025-08-24 10:41:39,4.5,,30.59,
B0DRDPJRL9,2025-08-24 10:41:39,4.5,,49.99,
B08WM3LMJF,2025-08-24 10:41:39,4.5,,30.59,
B006T9ZKAQ,2025-08-24 10:41:39,4.2,,4.95,
B00IKYI6FO,2025-08-24 10:41:39,4.4,,75.97,
B00NG57H4S,2025-08-24 10:41:39,4.2,,29.99,
B0CGMV5TMR,2025-08-24 10:41:39,4.6,,18.99,
B0CDZR83T8,2025-08-24 10:41:39,4.5,,49.99,
B07F2QF1P4,2025-08-24 10:41:39,4.1,,17.99,
B07HB9Q3CY,2025-08-24 10:41:39,4.4,,17.99,
B0DZD82GTF,2025-08-24 10:41:39,3.6,,17.99,
B004JRYLG4,2025-08-24 10:41:39,4.4,,14.99,
B08FXR3BWX,2025-08-24 10:41:39,4.2,,17.99,
B08WR6YDKP,2025-08-24 10:41:39,4.4,,31.95,
B073WN3W6M,2025-08-24 10:41:39,4.4,,36.99,
B0CRM4Q1W1,2025-08-24 10:41:39,4.6,,30.59,
