asin,marketplace,category_path,scan_timestamp,review_title,review_rating,review_author,review_date,review_text,review_location,review_verified_purchase,review_helpful_votes,review_id
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-09-08 16:51:09,"5.0 out of 5 stars
Great quality",5.0,Rebecca Hanna,2025-09-03,Great product!Bought for grandchild to use in schoolAnd she loves them!,the United States,True,0,R2J9C455RT5W0A
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-09-08 16:51:09,"5.0 out of 5 stars
new ears",5.0,flyboycris,2025-09-03,good sound clarity. comfy fit.,the United States,True,0,R54DOM0PMHZ3A
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-09-08 16:51:09,"3.0 out of 5 stars
Decent",3.0,gsnice1017,2025-08-30,Decent over the ear headphones,the United States,True,0,R1LI07337RFTKN
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-09-08 16:51:09,"5.0 out of 5 stars
You get your money's worth.",5.0,Brazilnut,2025-08-26,"I like them very much, they work well and are comfortable to wear for a good price, thanks. No",the United States,True,0,R3ADL9M7XY62LK
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-09-08 16:51:09,"1.0 out of 5 stars
JUNK!!",1.0,John K.,2025-08-25,I bought 5 of these for me & friends. Not a single one lasted more than a few months.,the United States,True,0,R2XN062RCQ8L58
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-09-08 16:51:09,"5.0 out of 5 stars
Very comfortable fit.",5.0,Stephani P,2025-08-25,"These are very comfortable and extra padding on the ears. I can wear these longer than most headphones. However, they are big and bulky so storage is harder. Overall I would recommend.",the United States,True,0,R7U1JHCTZ5V5V
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-09-08 16:51:09,"5.0 out of 5 stars
Headphones meet my needs.",5.0,Mary Flanagan,2025-08-22,Reliable product. Repeat buyer. Quick delivery.,the United States,True,0,R211JYKQH63GCH
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-09-08 16:51:09,"1.0 out of 5 stars
Noisy plastic shell.",1.0,JustTheMessenger,2025-08-20,The plastic shell is so vibration/sound conductive that every tiny movement of the cord translates into noise. Intolerable.,the United States,True,0,RM22QLC0XQON7
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-09-08 16:51:09,"5.0 out of 5 stars
Excellent!",5.0,Marsha Purser,2025-08-16,These are great! Better than ear buds.,the United States,True,0,R2VI5XJYY6E6WX
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-09-08 16:51:09,"5.0 out of 5 stars
Great Microphone Pickup",5.0,Mrs.C,2025-08-12,Microphone picks up really well with moderately soft voice and hanging at natural position on the cord.,the United States,True,0,R2QIA593FPOOS8
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-09-08 16:51:18,"3.0 out of 5 stars
Decent for the Price",3.0,MicronLuvr,2025-08-11,Does not fit tightly over ears for best sound ... but decent enough for casual use.,the United States,True,0,R36M0ONO6WDPAD
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",2025-09-08 16:51:18,"1.0 out of 5 stars
Died within 6 months",1.0,LS,2025-08-09,Died within 6 months.  Expected more fromPanasonic.,the United States,True,0,R25V02H3R2GROX
