asin,title,price,rating,review_count,category
B09LYF2ST7,"BERIBES Bluetooth Headphones Over Ear, 65H Playtime and 6 EQ Music Modes Wireless Headphones with Microphone, HiFi Stereo Foldable Lightweight Headsets, Deep Bass for Home Office Cellphone PC Ect.",$18.97,4.5,"43,947",Wireless Headphones
B0DLKB5V35,"Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Foam Ear Cups, Travel, Office, USB-C Charging",$34.99,4.5,"89,875",Wireless Headphones
B0CTBCDD6D,"JBL Tune 720BT - Wireless Over-Ear Headphones with JBL Pure Bass Sound, Bluetooth 5.3, Up to 76H Battery Life and Speed Charge, Lightweight, Comfortable and Foldable Design (Black)",$69.95,4.5,"7,021",Wireless Headphones
B0DKNZRZY7,"HS1 Hybrid Active Noise Cancelling Headphones, Wireless Bluetooth Headphones with Built-in Microphone, Foldable Deep Bass Over Ear Headphone, 60H Playtime Headset for Travel, Work, Gym",$29.99,4.4,119,Wireless Headphones
B08WM3LMJF,"JBL Tune 510BT - Bluetooth headphones with up to 40 hours battery, microphone for call, foldable and comfortable, Android and iOs compatible (Black)",$29.95,4.5,"82,052",Wireless Headphones
B0BS1PRC4L,"Sony WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone and up to 50 Hours Battery Life with Quick Charging, Black",,4.5,"23,930",Wireless Headphones
B09NNBBY8F,"Uliptz Wireless Bluetooth Headphones, 65H Playtime, 6 EQ Sound Modes, HiFi Stereo Over Ear Headphones with Microphone, Foldable Lightweight Bluetooth 5.3 Headphone for Travel/Office/Cellphone/PC",$14.99,4.5,"12,185",Wireless Headphones
B0CQXMXJC5,"Soundcore by Anker Q20i Hybrid Active Noise Cancelling Headphones, Wireless Over-Ear Bluetooth, 40H Long ANC Playtime, Hi-Res Audio, Big Bass, Customize via an App, Transparency Mode (White)",$44.99,4.6,"35,743",Wireless Headphones
B09BF64J55,"KVIDIO Bluetooth Headphones Over Ear, 65 Hours Playtime Wireless Headphones with Microphone, Foldable Lightweight Headset with Deep Bass, HiFi Stereo Sound Low Latency for Travel Work Cellphone",$18.84,4.5,"29,172",Wireless Headphones
B0FFCMHQSB,TAGRY Hybrid Active Noise Cancelling Headphones 100H Playtime Wireless Over Ear Bluetooth Headphone with Hi-Res Audio Fast Charging Comfort Earcups Headsets for Travel Home Office Phone PC Black,$49.99,4.3,35,Wireless Headphones
B07K5214NZ,"ZIHNIC Bluetooth Headphones Over-Ear, Foldable Wireless and Wired Stereo Headset Micro SD/TF, FM for Cell Phone,PC,Soft Earmuffs &Light Weight for Prolonged Wearing(Rose Gold)",$18.04,4.4,"83,686",Wireless Headphones
B0BS1QCFHX,"Sony WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone and Alexa Built-in, Black New",,4.4,"11,848",Wireless Headphones
B07MQQS88Q,"OneOdio A70 Bluetooth Over Ear Headphones, Wireless Headphones with 72H Playtime, Hi-Res, Built-in Mic, 3.5mm/6.35mm Wired Audio Jack for Studio Monitor & Mixing DJ Guitar AMP, Computer Laptop PC",$44.99,4.4,"16,556",Wireless Headphones
B0CRLXZ5J6,"JLab JBuds Lux ANC Wireless Headphones, Mauve, Hybrid Active Noise Cancelling, Customizable Sound, Spatial Audio Compatible, Premium Over-Ear Bluetooth Headset",$59.59,4.6,"3,487",Wireless Headphones
B0F28LGLNS,"Active Noise Cancelling Headphones, Upgraded Wireless Bluetooth Headphones Over Ear with ENC Mic, HiFi Stereo Deep Bass, Noise Canceling Headphones Lightweight, BT 5.4, for Travel/Office/Home, Black",$23.99,4.6,328,Wireless Headphones
B0F6BFFXN8,"NDO Wireless Earbuds Bluetooth 5.3 Headphones Sport,IPX7 Waterproof Sports Earphones with Earhooks,48H Playtime,Lightweight 7.8g,Fast Charging Case,Noise Cancelling Mic for Running Gym Workout-Black",$22.99,4.4,"3,086",Wireless Headphones
B0CQ1HP3RX,"JBL Tune 520BT - Wireless On-Ear Headphones, Up to 57H Battery Life and Speed Charge, Lightweight, Comfortable and Foldable Design, Hands-Free Calls with Voice Aware (Purple)",$49.95,4.6,"7,262",Wireless Headphones
B0CSXV3GK4,"Wireless Earbuds 75hrs Bluetooth 5.4 Headphone Sport, 2025 Bluetooth Earbuds Stereo Deep Bass Over Ear Bud with Earhooks, ENC Noise Cancelling Mic, IPX7 Waterproof Earphone for Workout/Running",$22.78,4.3,"18,629",Wireless Headphones
