asin,title,price,rating,review_count,category
B00NJ2M33I,"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",$9.99,4.5,"109,002",On-Ear Headphones
B00004T8R2,"Panasonic RP-HT21 Lightweight Headphones with XBS, 16Hz-22kHz Frequency, 16 Ohm Impedance, Wired Connectivity",$7.99,4.3,"32,807",On-Ear Headphones
B0BS1PRC4L,"Sony WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone and up to 50 Hours Battery Life with Quick Charging, Black",,4.5,"23,930",On-Ear Headphones
B08WM3LMJF,"JBL Tune 510BT - Bluetooth headphones with up to 40 hours battery, microphone for call, foldable and comfortable, Android and iOs compatible (Black)",$29.95,4.5,"82,052",On-Ear Headphones
B006T9ZKAQ,"Koss KPH7 Lightweight Portable Headphone, Black",$4.95,4.2,"9,708",On-Ear Headphones
B00IKYI6FO,"Sony MDR-ZX310AP ZX Series Wired On Ear Headphones with mic, Black",$19.99,4.4,"10,951",On-Ear Headphones
B0CDZR83T8,"Soundcore H30i Wireless On-Ear Headphones, Foldable Design, Pure Bass, 70H Playtime, Bluetooth 5.3, Lightweight and Comfortable, App Connectivity, Multipoint Connection",$19.99,4.5,"7,462",On-Ear Headphones
B0F62VMBV8,"Deep Bass Sound Clip on Earbuds Wireless, Lightweight Open Ear Earbud with Physical Button, Bluetooth 6.0 Headphone Support Dual-Device, 60H Play Time, Waterproof, Ideal for Workout, Running",$19.99,4.1,98,On-Ear Headphones
B08WR6YDKP,"JBL Live 460NC wireless on-ear Noise Cancelling headphones with 50H battery, microphone for calls, lightweight and comfortable, and Alexa Built-in (Optimized for Android), iOS compatible (Black)",$39.99,4.4,"7,238",On-Ear Headphones
B0CGMV5TMR,"JBL Tune 520BT - Wireless On-Ear Headphones, Up to 57H Battery Life and Speed Charge, Lightweight, Comfortable and Foldable Design, Hands-Free Calls with Voice Aware (Blue)",$49.95,4.6,"7,262",On-Ear Headphones
B0006B486K,"Koss KSC75 Portable On-Ear Clip Headphones, Retro Style, Ultra Lightweight, Silver and Black",$19.99,4.3,"8,604",On-Ear Headphones
B07ZG1K4TK,"noot products Kids Headphones K11 Foldable Stereo Tangle-Free 5ft Long Cord 3.5mm Jack Plug in Wired On-Ear Headset for iPad/Amazon Kindle,Fire/Boys/Girls/School/Laptop/Travel/Plane/Tablet (Black)",$17.84,4.7,"40,506",On-Ear Headphones
B00KHA6XZE,"Koss KPH7G Portable On-Ear Headphone with Adjustable Headband - Green, 8.7 x 6.2 x 2.0",$4.99,4.1,"1,529",On-Ear Headphones
B0CT9MB4WR,"JBL Tune 670NC - Adaptive Noise Cancelling with Smart Ambient Wireless On-Ear Headphones, Up to 70H Battery Life with Speed Charge, Lightweight, Comfortable and Foldable Design (Black)",$69.95,4.5,966,On-Ear Headphones
B088NHNW8B,"Kids Headphones Bulk 5 Pack, Student On Ear Color Varieties, Comfy Swivel Earphones for Classroom, Library, School, Airplane, for Online Learning and Travel, Noise Stereo Sound 3.5mm Jack (Colorful)",$35.98,4.5,"3,079",On-Ear Headphones
B004JRYLG4,JVC Flats On-Ear Wired Headphones - Flat Foldable Design - 30mm Driver for Powerful Sound - Soft Ear-Pads for Comfort – Steel Headband - Lightweight & Portable - PC/Laptop/Gaming - 3.5mm Slim Plug,$14.99,4.4,"9,824",On-Ear Headphones
B00006JPRN,"Maxell - 190319 Stereo Headphones - 3.5mm Cord with 6-Foot Length - Soft Padded Ear Cushions, Adjustable Headband for Comfort - Sleek, Lightweight, Wired for Reliable Connection – Black",$5.99,4.1,"4,495",On-Ear Headphones
B0D2QZ979C,"Tronsmart KH02 Kids Headphones, Volume Limit 74/85/93dB, 45H Playtime, Built-in 3.5mm Audio Cable, Foldable, Wireless Headphones with Microphone for School/Travel/Plane (Blue)",$29.99,4.5,476,On-Ear Headphones
