iter	RMSE
0	17.39992085
1	16.80177017
2	16.25221238
3	15.58890507
4	15.0399659
5	14.30842263
6	13.68237066
7	13.08565494
8	12.63111571
9	12.19046634
10	11.80824778
11	11.33254378
12	11.05998535
13	10.70151442
14	10.33132327
15	10.07070828
16	9.671481588
17	9.542249643
18	9.242606325
19	8.970506958
20	8.539578226
21	8.226366886
22	8.005663716
23	7.915304781
24	7.594968091
25	7.37871293
26	7.149819582
27	6.986919723
28	6.820331361
29	6.612787406
30	6.489014746
31	6.164633999
32	5.994408095
33	5.741482093
34	5.567568111
35	5.412328468
36	5.204990261
37	5.016558724
38	4.875459874
39	4.695060772
40	4.457149496
41	4.331456227
42	4.198240974
43	3.998645945
44	3.902089747
45	3.737360564
46	3.617817566
47	3.471262345
48	3.357095074
49	3.176873424
50	3.085332113
51	3.001080703
52	2.889673791
53	2.827840267
54	2.706952942
55	2.654361087
56	2.588792244
57	2.500847206
58	2.454947986
59	2.408323009
60	2.370648925
61	2.33758931
62	2.303257894
63	2.258590603
64	2.22950455
65	2.201090599
66	2.187645207
67	2.175283422
68	2.111018749
69	2.017311711
70	1.997863648
71	1.911382828
72	1.836061943
73	1.818665088
74	1.771675324
75	1.711986008
76	1.669548024
77	1.616041622
78	1.566631253
79	1.52766779
80	1.483248276
81	1.453529163
82	1.443108863
83	1.433493289
84	1.401175512
85	1.36262391
86	1.354177608
87	1.346384687
88	1.310165812
89	1.276779363
90	1.256066016
91	1.22684876
92	1.219011747
93	1.212362613
94	1.186212846
95	1.179944724
96	1.156078748
97	1.132514967
98	1.12681072
99	1.098730807
