iter	Passed	Remaining
0	57	5684
1	57	2824
2	57	1869
3	57	1391
4	58	1104
5	58	912
6	58	775
7	58	672
8	58	592
9	58	528
10	58	475
11	58	431
12	58	394
13	59	362
14	59	335
15	59	311
16	59	289
17	59	270
18	59	253
19	59	238
20	59	224
21	59	212
22	59	200
23	60	190
24	60	180
25	60	171
26	60	163
27	60	155
28	60	148
29	60	141
30	60	135
31	60	129
32	60	123
33	61	118
34	61	113
35	61	108
36	61	104
37	61	100
38	61	96
39	61	92
40	61	88
41	61	85
42	61	82
43	62	79
44	62	76
45	62	73
46	62	70
47	62	67
48	62	65
49	62	62
50	62	60
51	62	58
52	62	55
53	63	53
54	63	51
55	63	49
56	63	47
57	63	46
58	63	44
59	63	42
60	63	40
61	64	39
62	64	37
63	64	36
64	64	34
65	64	33
66	64	31
67	64	30
68	64	29
69	64	27
70	64	26
71	65	25
72	65	24
73	65	22
74	65	21
75	65	20
76	65	19
77	65	18
78	65	17
79	65	16
80	65	15
81	66	14
82	66	13
83	66	12
84	66	11
85	66	10
86	66	9
87	66	9
88	66	8
89	66	7
90	67	6
91	67	5
92	67	5
93	67	4
94	67	3
95	67	2
96	67	2
97	67	1
98	67	0
99	67	0
